"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://www.portable-fire-pumps.com/","text/plain; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","19","19","19","0.007","","0","","","","","0.000","0","0","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.480","","https://www.portable-fire-pumps.com/en/","HTTP Redirect","","","1.1","","","","","","https://www.portable-fire-pumps.com/","2026-03-24 12:40:52"
"https://www.portable-fire-pumps.com/en/","text/html; charset=UTF-8","200","OK","Indexable","","Portable Fire Pumps | Shibaura by Kojex","39","357","Exclusive North American distributor for Shibaura portable fire pumps with product guidance, resources, and support.","116","725","","0","High-Performance Portable Fire Pumps","36","Trusted Portable Fire Pumps","27","Portable Fire Pumps","19","index, follow","","","https://www.portable-fire-pumps.com/en/","","","","","","49158","9978","9978","3.822","","236","45","5.244","36.972","Hard","4.755","1","1","","0","0","0","0.000","53","18","0","4","4","0","","","","","4c95837358b9394032bfa0f04f5788b3","0.817","","","","","en","1.1","","","","","","https://www.portable-fire-pumps.com/en/","2026-03-24 12:40:53"
"https://www.portable-fire-pumps.com/_astro/shibaura-ft510-portable-fire-pump-side-view.CCFWohDx.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","181712","181712","181712","69.610","","0","","","","","0.000","2","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.343","","","","","","1.1","","","","","","https://www.portable-fire-pumps.com/_astro/shibaura-ft510-portable-fire-pump-side-view.CCFWohDx.jpg","2026-03-24 12:40:57"
"https://www.portable-fire-pumps.com/en/long-distance-relay-pumping","text/html","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","98","98","98","0.038","","0","","","","","0.000","2","1","","26","17","0","50.000","0","0","0","0","0","0","","","","","","0.444","","https://www.portable-fire-pumps.com/en/long-distance-relay-pumping/","HTTP Redirect","","","1.1","","","","","","https://www.portable-fire-pumps.com/en/long-distance-relay-pumping","2026-03-24 12:40:57"
"https://www.portable-fire-pumps.com/en","text/html","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","98","98","98","0.038","","0","","","","","0.000","2","0","","121","18","0","52.940","0","0","0","0","0","0","","","","","","0.658","","https://www.portable-fire-pumps.com/en/","HTTP Redirect","","","1.1","","","","","","https://www.portable-fire-pumps.com/en","2026-03-24 12:40:57"
"https://www.portable-fire-pumps.com/en/products/ft510-a","text/html","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","98","98","98","0.038","","0","","","","","0.000","2","2","","13","9","0","26.470","0","0","0","0","0","0","","","","","","0.776","","https://www.portable-fire-pumps.com/en/products/ft510-a/","HTTP Redirect","","","1.1","","","","","","https://www.portable-fire-pumps.com/en/products/ft510-a","2026-03-24 12:40:57"
"https://www.portable-fire-pumps.com/_astro/shibaura-p572s-portable-fire-pump-side-view.CbeXY2eT.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","57574","57574","57574","22.056","","0","","","","","0.000","2","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.291","","","","","","1.1","","","","","","https://www.portable-fire-pumps.com/_astro/shibaura-p572s-portable-fire-pump-side-view.CbeXY2eT.jpg","2026-03-24 12:40:57"
"https://www.portable-fire-pumps.com/en/products/ft300-400-a","text/html","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","98","98","98","0.038","","0","","","","","0.000","2","2","","13","9","0","26.470","0","0","0","0","0","0","","","","","","0.783","","https://www.portable-fire-pumps.com/en/products/ft300-400-a/","HTTP Redirect","","","1.1","","","","","","https://www.portable-fire-pumps.com/en/products/ft300-400-a","2026-03-24 12:40:57"
"https://www.portable-fire-pumps.com/_astro/shibaura-ft400-portable-fire-pump-side-view.Cp8S1RgJ.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","96732","96732","96732","37.056","","0","","","","","0.000","2","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.373","","","","","","1.1","","","","","","https://www.portable-fire-pumps.com/_astro/shibaura-ft400-portable-fire-pump-side-view.Cp8S1RgJ.jpg","2026-03-24 12:40:57"
"https://www.portable-fire-pumps.com/en/products/fk500-a","text/html","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","98","98","98","0.038","","0","","","","","0.000","2","2","","8","4","0","11.760","0","0","0","0","0","0","","","","","","0.969","","https://www.portable-fire-pumps.com/en/products/fk500-a/","HTTP Redirect","","","1.1","","","","","","https://www.portable-fire-pumps.com/en/products/fk500-a","2026-03-24 12:40:57"
"https://www.portable-fire-pumps.com/_astro/thanks.4C4ohdWF.css","text/css; charset=UTF-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.768","","","","","","1.1","","","","","","https://www.portable-fire-pumps.com/_astro/thanks.4C4ohdWF.css","2026-03-24 12:40:58"
"https://www.portable-fire-pumps.com/en/about-us","text/html","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","98","98","98","0.038","","0","","","","","0.000","2","1","","35","17","0","50.000","0","0","0","0","0","0","","","","","","0.616","","https://www.portable-fire-pumps.com/en/about-us/","HTTP Redirect","","","1.1","","","","","","https://www.portable-fire-pumps.com/en/about-us","2026-03-24 12:40:58"
"https://www.portable-fire-pumps.com/en/features","text/html","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","98","98","98","0.038","","0","","","","","0.000","2","1","","87","17","0","50.000","0","0","0","0","0","0","","","","","","0.640","","https://www.portable-fire-pumps.com/en/features/","HTTP Redirect","","","1.1","","","","","","https://www.portable-fire-pumps.com/en/features","2026-03-24 12:40:58"
"https://www.portable-fire-pumps.com/en/products/tf516mh-ab","text/html","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","98","98","98","0.038","","0","","","","","0.000","2","2","","13","9","0","26.470","0","0","0","0","0","0","","","","","","0.656","","https://www.portable-fire-pumps.com/en/products/tf516mh-ab/","HTTP Redirect","","","1.1","","","","","","https://www.portable-fire-pumps.com/en/products/tf516mh-ab","2026-03-24 12:40:58"
"https://www.portable-fire-pumps.com/_astro/shibaura-fk500-portable-fire-pump-side-view.J1mQsGaM.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","99744","99744","99744","38.210","","0","","","","","0.000","2","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.384","","","","","","1.1","","","","","","https://www.portable-fire-pumps.com/_astro/shibaura-fk500-portable-fire-pump-side-view.J1mQsGaM.jpg","2026-03-24 12:40:58"
"https://www.portable-fire-pumps.com/en/contact-us","text/html","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","98","98","98","0.038","","0","","","","","0.000","2","1","","38","17","0","50.000","0","0","0","0","0","0","","","","","","0.710","","https://www.portable-fire-pumps.com/en/contact-us/","HTTP Redirect","","","1.1","","","","","","https://www.portable-fire-pumps.com/en/contact-us","2026-03-24 12:40:58"
"https://www.portable-fire-pumps.com/_astro/hero-firepump-loop-poster.C76JfSA__Z25qqEw.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","66478","66478","66478","25.466","","0","","","","","0.000","2","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.301","","","","","","1.1","","","","","","https://www.portable-fire-pumps.com/_astro/hero-firepump-loop-poster.C76JfSA__Z25qqEw.webp","2026-03-24 12:40:59"
"https://www.portable-fire-pumps.com/en/products/p572s-a","text/html","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","98","98","98","0.038","","0","","","","","0.000","2","2","","11","7","0","20.590","0","0","0","0","0","0","","","","","","0.814","","https://www.portable-fire-pumps.com/en/products/p572s-a/","HTTP Redirect","","","1.1","","","","","","https://www.portable-fire-pumps.com/en/products/p572s-a","2026-03-24 12:40:58"
"https://www.portable-fire-pumps.com/en/resources","text/html","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","98","98","98","0.038","","0","","","","","0.000","2","1","","103","17","0","50.000","0","0","0","0","0","0","","","","","","0.791","","https://www.portable-fire-pumps.com/en/resources/","HTTP Redirect","","","1.1","","","","","","https://www.portable-fire-pumps.com/en/resources","2026-03-24 12:40:59"
"https://www.portable-fire-pumps.com/_astro/shibaura-logo-mark.CrC4vaac.svg","image/svg+xml","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.629","","","","","","1.1","","","","","","https://www.portable-fire-pumps.com/_astro/shibaura-logo-mark.CrC4vaac.svg","2026-03-24 12:40:59"
"https://www.portable-fire-pumps.com/en/products/ff500ar-a","text/html","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","98","98","98","0.038","","0","","","","","0.000","2","2","","8","4","0","11.760","0","0","0","0","0","0","","","","","","0.655","","https://www.portable-fire-pumps.com/en/products/ff500ar-a/","HTTP Redirect","","","1.1","","","","","","https://www.portable-fire-pumps.com/en/products/ff500ar-a","2026-03-24 12:40:59"
"https://www.portable-fire-pumps.com/fr","text/html","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","98","98","98","0.038","","0","","","","","0.000","2","0","","121","18","0","52.940","0","0","0","0","0","0","","","","","","0.723","","https://www.portable-fire-pumps.com/fr/","HTTP Redirect","","","1.1","","","","","","https://www.portable-fire-pumps.com/fr","2026-03-24 12:40:59"
"https://www.portable-fire-pumps.com/.netlify/scripts/rum","application/javascript; charset=UTF-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","4253","4253","4253","1.629","","0","","","","","0.000","2","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.368","","","","","","1.1","","","","","","https://www.portable-fire-pumps.com/.netlify/scripts/rum","2026-03-24 12:41:00"
"https://www.portable-fire-pumps.com/en/use-cases","text/html","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","98","98","98","0.038","","0","","","","","0.000","2","1","","77","17","0","50.000","0","0","0","0","0","0","","","","","","0.621","","https://www.portable-fire-pumps.com/en/use-cases/","HTTP Redirect","","","1.1","","","","","","https://www.portable-fire-pumps.com/en/use-cases","2026-03-24 12:41:00"
