snapshot_date,source_file,coverage_group,issue,sitemap,url,last_crawled,host,path,final_url,final_host,final_path,classification,locale,redirect_applied,redirect_notes
2026-03-26,portable-fire-pumps.com-Coverage-Drilldown-2026-03-26 (2).zip,Excluded,Alternate page with proper canonical tag,All known pages,https://www.portable-fire-pumps.com/#!find-dealers/yjojp,2023-02-25,www.portable-fire-pumps.com,/,https://www.portable-fire-pumps.com/en/,www.portable-fire-pumps.com,/en/,legacy_hashbang,en,true,path_redirect:/->/en/
2026-03-26,portable-fire-pumps.com-Coverage-Drilldown-2026-03-26 (2).zip,Excluded,Alternate page with proper canonical tag,All known pages,https://www.portable-fire-pumps.com/#!p476/zqyo7,2023-02-25,www.portable-fire-pumps.com,/,https://www.portable-fire-pumps.com/en/,www.portable-fire-pumps.com,/en/,legacy_hashbang,en,true,path_redirect:/->/en/
2026-03-26,portable-fire-pumps.com-Coverage-Drilldown-2026-03-26 (2).zip,Excluded,Alternate page with proper canonical tag,All known pages,https://www.portable-fire-pumps.com/products/rabbit-fi-series/fi6000,2019-12-17,www.portable-fire-pumps.com,/products/rabbit-fi-series/fi6000,https://www.portable-fire-pumps.com/products/rabbit-fi-series/fi6000,www.portable-fire-pumps.com,/products/rabbit-fi-series/fi6000,legacy_or_nonlocalized_path,,false,
2026-03-26,portable-fire-pumps.com-Coverage-Drilldown-2026-03-26 (3).zip,Excluded,Blocked due to other 4xx issue,All known pages,https://www.portable-fire-pumps.com/*,2025-10-11,www.portable-fire-pumps.com,/*,https://www.portable-fire-pumps.com/*,www.portable-fire-pumps.com,/*,legacy_or_nonlocalized_path,,false,
2026-03-26,portable-fire-pumps.com-Coverage-Drilldown-2026-03-26 (6).zip,Excluded,Crawled - currently not indexed,All known pages,http://portable-fire-pumps.com/about-us,2025-11-24,portable-fire-pumps.com,/about-us,https://www.portable-fire-pumps.com/en/about-us/,www.portable-fire-pumps.com,/en/about-us/,noncanonical_host_or_protocol,en,true,canonical_host_redirect;path_redirect:/about-us->/en/about-us/
2026-03-26,portable-fire-pumps.com-Coverage-Drilldown-2026-03-26 (6).zip,Excluded,Crawled - currently not indexed,All known pages,http://www.portable-fire-pumps.com/ft450,2025-11-18,www.portable-fire-pumps.com,/ft450,https://www.portable-fire-pumps.com/en/products/ft300-400-a/,www.portable-fire-pumps.com,/en/products/ft300-400-a/,noncanonical_host_or_protocol,en,true,canonical_host_redirect;path_redirect:/ft450->/en/products/ft300-400-a/
2026-03-26,portable-fire-pumps.com-Coverage-Drilldown-2026-03-26 (6).zip,Excluded,Crawled - currently not indexed,All known pages,http://www.portable-fire-pumps.com/water-cooled,2025-11-18,www.portable-fire-pumps.com,/water-cooled,https://www.portable-fire-pumps.com/en/products/water-cooled/,www.portable-fire-pumps.com,/en/products/water-cooled/,noncanonical_host_or_protocol,en,true,canonical_host_redirect;path_redirect:/water-cooled->/en/products/water-cooled/
2026-03-26,portable-fire-pumps.com-Coverage-Drilldown-2026-03-26 (7).zip,Excluded,Discovered - currently not indexed,All known pages,https://www.portable-fire-pumps.com/fr/features/,,www.portable-fire-pumps.com,/fr/features/,https://www.portable-fire-pumps.com/fr/features/,www.portable-fire-pumps.com,/fr/features/,localized_current_style,fr,false,
2026-03-26,portable-fire-pumps.com-Coverage-Drilldown-2026-03-26 (5).zip,Excluded,"Duplicate, Google chose different canonical than user",All known pages,https://www.portable-fire-pumps.com/products/air-cooled,2026-01-09,www.portable-fire-pumps.com,/products/air-cooled,https://www.portable-fire-pumps.com/en/products/air-cooled/,www.portable-fire-pumps.com,/en/products/air-cooled/,legacy_or_nonlocalized_path,en,true,path_redirect:/products/air-cooled->/en/products/air-cooled/
2026-03-26,portable-fire-pumps.com-Coverage-Drilldown-2026-03-26 (5).zip,Excluded,"Duplicate, Google chose different canonical than user",All known pages,https://www.portable-fire-pumps.com/products/rabbit-diamond-fuji-series,2022-03-28,www.portable-fire-pumps.com,/products/rabbit-diamond-fuji-series,https://www.portable-fire-pumps.com/410.html,www.portable-fire-pumps.com,/410.html,legacy_or_nonlocalized_path,,true,path_redirect:/products/rabbit-diamond-fuji-series->/410.html
